Drone ID,Application,Drone Size,Drone Model,Manufacturer,Propeller Count,Max Carry Weight (kg),Actual Carry Weight (kg),Payload Type,Payload Description,Altitude (meters),Flight Duration (minutes),Distance Flown (km),Operator ID,Flight Date,Battery Remaining (%),GPS Accuracy (meters),Wind Speed (m/s),Obstacles Encountered,Flight Status,Regulatory Approval ID,Notes
D387,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.7,Package,"Consumer goods",68,22,7.1,OP015,2025-10-27,88,1.7,3.5,No,Completed,REG-2025-JKL-234,
D388,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Zoom lens",81,19,5.2,OP007,2025-10-28,96,1.2,2.1,No,Completed,REG-2025-MNO-567,
D389,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.3,"Liquid Tank",Insecticide,30,32,10.8,OP003,2025-10-29,42,3.3,7.6,Yes,Completed,REG-2025-OPQ-890,
D390,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.6,Camera,"High-res",105,39,13.8,OP002,2025-10-30,65,2.4,5.2,Yes,Completed,REG-2025-RST-123,
D391,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.4,Package,"Small package",72,16,6.2,OP011,2025-10-31,91,1.4,2.9,No,Completed,REG-2025-UVW-456,
D392,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.9,Camera,"Wide angle",86,20,5.5,OP004,2025-11-01,94,1.1,2.3,No,Completed,REG-2025-XYZ-789,
D393,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.5,"Liquid Tank",Herbicide,33,34,10.1,OP003,2025-11-02,47,3.1,7.1,Yes,Completed,REG-2025-ABC-012,
D394,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Vibration",109,40,12.5,OP002,2025-11-03,68,2.2,5.5,Yes,Completed,REG-2025-DEF-345,
D395,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.3,Package,"Fragile goods",70,25,7.9,OP015,2025-11-04,83,1.8,3.4,No,Completed,REG-2025-GHI-678,
D396,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Telephoto",84,17,5.3,OP007,2025-11-05,97,1.3,2.2,No,Completed,REG-2025-JKL-901,
D397,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.1,"Liquid Tank",Fungicide,29,32,9.2,OP003,2025-11-06,40,3.4,7.8,Yes,Completed,REG-2025-MNO-234,
D398,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.4,Camera,"Zoom",106,42,13.9,OP002,2025-11-07,62,2.5,5.7,Yes,Completed,REG-2025-OPQ-567,
D399,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.5,Package,"Gift",71,19,6.5,OP011,2025-11-08,92,1.5,2.9,No,Completed,REG-2025-RST-890,
D400,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Standard lens",85,20,5.7,OP004,2025-11-09,94,1.1,2.1,No,Completed,REG-2025-UVW-123,
D401,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.8,"Liquid Tank",Insecticide,32,33,10.5,OP003,2025-11-10,45,3.3,7.3,Yes,Completed,REG-2025-XYZ-456,
D402,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Acoustic",108,38,12.2,OP002,2025-11-11,69,2.1,5.4,Yes,Completed,REG-2025-ABC-789,
D403,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Electronics",67,23,7.2,OP015,2025-11-12,84,1.8,3.2,No,Completed,REG-2025-DEF-901,
D404,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Wide lens",89,18,5.9,OP007,2025-11-13,97,1.2,2.4,No,Completed,REG-2025-GHI-234,
D405,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.1,"Liquid Tank",Herbicide,30,32,10.8,OP003,2025-11-14,42,3.3,7.5,Yes,Completed,REG-2025-JKL-567,
D406,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"High-res",103,39,13.8,OP002,2025-11-15,65,2.4,5.6,Yes,Completed,REG-2025-MNO-890,
D407,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Small package",73,16,6.5,OP011,2025-11-16,90,1.4,2.9,No,Completed,REG-2025-OPQ-123,
D408,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.8,Camera,"Wide angle",86,20,5.8,OP004,2025-11-17,93,1.1,2.1,No,Completed,REG-2025-RST-456,
D409,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.1,"Liquid Tank",Fungicide,34,34,10.1,OP003,2025-11-18,47,3.1,7.2,Yes,Completed,REG-2025-UVW-789,
D410,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.6,Sensor,"Vibration",107,40,12.5,OP002,2025-11-19,68,2.2,5.3,Yes,Completed,REG-2025-XYZ-012,
D411,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.3,Package,"Fragile goods",70,25,7.9,OP015,2025-11-20,83,1.8,3.4,No,Completed,REG-2025-ABC-345,
D412,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Telephoto",84,17,5.3,OP007,2025-11-21,97,1.3,2.2,No,Completed,REG-2025-DEF-678,
D413,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Insecticide,29,32,9.2,OP003,2025-11-22,40,3.4,7.8,Yes,Completed,REG-2025-GHI-901,
D414,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.4,Camera,"Zoom",106,42,13.9,OP002,2025-11-23,62,2.5,5.7,Yes,Completed,REG-2025-JKL-234,
D415,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.5,Package,"Gift",71,19,6.5,OP011,2025-11-24,92,1.5,2.9,No,Completed,REG-2025-MNO-567,
D416,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Standard lens",85,20,5.7,OP004,2025-11-25,94,1.1,2.1,No,Completed,REG-2025-OPQ-890,
D417,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.8,"Liquid Tank",Herbicide,32,33,10.5,OP003,2025-11-26,45,3.3,7.3,Yes,Completed,REG-2025-RST-123,
D418,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Acoustic",108,38,12.2,OP002,2025-11-27,69,2.1,5.4,Yes,Completed,REG-2025-UVW-456,
D419,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Electronics",67,23,7.2,OP015,2025-11-28,84,1.8,3.2,No,Completed,REG-2025-XYZ-789,
D420,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Wide lens",89,18,5.9,OP007,2025-11-29,97,1.2,2.4,No,Completed,REG-2025-ABC-012,
D421,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.1,"Liquid Tank",Fungicide,31,35,9.8,OP003,2025-11-30,40,3.5,7.9,Yes,Completed,REG-2025-DEF-345,
D422,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"Thermal",102,41,13.5,OP002,2025-12-01,63,2.3,5.1,Yes,Completed,REG-2025-GHI-678,
D423,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Clothing",72,19,6.3,OP011,2025-12-02,91,1.4,2.8,No,Completed,REG-2025-JKL-901,
D424,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Zoom",85,20,5.9,OP004,2025-12-03,94,1.3,2.5,No,Completed,REG-2025-MNO-234,
D425,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.2,"Liquid Tank",Insecticide,29,33,9.8,OP003,2025-12-04,43,3.3,7.6,Yes,Completed,REG-2025-OPQ-567,
D426,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.8,Sensor,"Gas",108,39,12.1,OP002,2025-12-05,69,2.2,5.1,Yes,Completed,REG-2025-RST-890,
D427,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.5,Package,"Documents",68,24,7.1,OP015,2025-12-06,85,1.8,3.4,No,Completed,REG-2025-UVW-123,
D428,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"ND filter",82,17,5.5,OP007,2025-12-07,97,1.1,2.2,No,Completed,REG-2025-XYZ-456,
D429,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.9,"Liquid Tank",Herbicide,32,34,10.5,OP003,2025-12-08,40,3.4,7.8,Yes,Completed,REG-2025-ABC-789,
D430,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.4,Camera,"Visual",105,40,13.2,OP002,2025-12-09,64,2.3,5.5,Yes,Completed,REG-2025-DEF-901,
D431,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.1,Package,"Electronics",70,18,6.1,OP011,2025-12-10,93,1.5,2.9,No,Completed,REG-2025-GHI-234,
D432,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide angle",87,19,5.7,OP004,2025-12-11,95,1.2,2.3,No,Completed,REG-2025-JKL-567,
D433,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Fungicide,28,32,9.5,OP003,2025-12-12,42,3.2,7.7,Yes,Completed,REG-2025-MNO-890,
D434,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Temperature",109,42,12.8,OP002,2025-12-13,70,2.4,5.2,Yes,Completed,REG-2025-OPQ-123,
D435,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.8,Package,"Small items",69,25,7.5,OP015,2025-12-14,88,1.9,3.3,No,Completed,REG-2025-RST-456,
D436,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Telephoto",83,21,6.2,OP007,2025-12-15,96,1.3,2.4,No,Completed,REG-2025-UVW-789,
D437,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.5,"Liquid Tank",Insecticide,33,31,10.2,OP003,2025-12-16,45,3.1,7.4,Yes,Completed,REG-2025-XYZ-012,
D438,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.2,Camera,"Infrared",106,38,13.1,OP002,2025-12-17,63,2.2,5.4,Yes,Completed,REG-2025-ABC-345,
D439,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Documents",71,17,5.9,OP011,2025-12-18,92,1.6,2.7,No,Completed,REG-2025-DEF-678,
D440,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Standard",86,20,5.8,OP004,2025-12-19,94,1.1,2.1,No,Completed,REG-2025-GHI-901,
D441,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.1,"Liquid Tank",Herbicide,27,35,9.9,OP003,2025-12-20,44,3.5,7.8,Yes,Completed,REG-2025-JKL-234,
D442,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Pressure",110,41,12.5,OP002,2025-12-21,68,2.3,5.1,Yes,Completed,REG-2025-MNO-567,
D443,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.9,Package,"Consumer goods",67,22,7.3,OP015,2025-12-22,87,1.7,3.2,No,Completed,REG-2025-OPQ-890,
D444,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"Zoom lens",84,19,5.2,OP007,2025-12-23,95,1.2,2.3,No,Completed,REG-2025-RST-123,
D445,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.5,"Liquid Tank",Fungicide,30,32,10.8,OP003,2025-12-24,42,3.3,7.5,Yes,Completed,REG-2025-UVW-456,
D446,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"High-res",103,39,13.8,OP002,2025-12-25,65,2.4,5.6,Yes,Completed,REG-2025-XYZ-789,
D447,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Small package",73,16,6.5,OP011,2025-12-26,90,1.4,2.9,No,Completed,REG-2025-ABC-012,
D448,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.8,Camera,"Wide angle",89,20,5.8,OP004,2025-12-27,93,1.1,2.1,No,Completed,REG-2025-DEF-345,
D449,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.1,"Liquid Tank",Insecticide,34,34,10.1,OP003,2025-12-28,47,3.1,7.2,Yes,Completed,REG-2025-GHI-678,
D450,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.6,Sensor,"Vibration",107,40,12.5,OP002,2025-12-29,68,2.2,5.3,Yes,Completed,REG-2025-JKL-901,
D451,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Fragile goods",71,25,7.2,OP015,2025-12-30,86,1.8,3.5,No,Completed,REG-2025-MNO-234,
D452,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Telephoto",81,17,5.3,OP007,2025-12-31,98,1.3,2.4,No,Completed,REG-2025-OPQ-567,
D453,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Herbicide,26,32,9.2,OP003,2026-01-01,41,3.4,7.7,Yes,Completed,REG-2025-RST-890,
D454,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.3,Camera,"Zoom",104,42,13.9,OP002,2026-01-02,62,2.5,5.7,Yes,Completed,REG-2025-UVW-123,
D455,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.4,Package,"Gift",70,19,6.1,OP011,2026-01-03,94,1.5,2.8,No,Completed,REG-2025-XYZ-456,
D456,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard lens",87,20,5.7,OP004,2026-01-04,95,1.1,2.2,No,Completed,REG-2025-ABC-789,
D457,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.6,"Liquid Tank",Fungicide,33,33,10.5,OP003,2026-01-05,46,3.3,7.3,Yes,Completed,REG-2025-DEF-901,
D458,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Acoustic",109,38,12.2,OP002,2026-01-06,69,2.1,5.4,Yes,Completed,REG-2025-GHI-234,
D459,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.1,Package,"Electronics",66,23,7.5,OP015,2026-01-07,89,1.7,3.1,No,Completed,REG-2025-JKL-567,
D460,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide lens",82,18,5.9,OP007,2026-01-08,97,1.2,2.5,No,Completed,REG-2025-MNO-890,
D461,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.2,"Liquid Tank",Insecticide,28,35,9.8,OP003,2026-01-09,43,3.5,7.6,Yes,Completed,REG-2025-OPQ-123,
D462,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"Thermal",103,41,13.1,OP002,2026-01-10,64,2.4,5.2,Yes,Completed,REG-2025-RST-456,
D463,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Clothing",73,19,6.1,OP011,2026-01-11,92,1.4,2.7,No,Completed,REG-2025-UVW-789,
D464,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Zoom",85,20,5.5,OP004,2026-01-12,96,1.3,2.3,No,Completed,REG-2025-XYZ-012,
D465,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.1,"Liquid Tank",Herbicide,31,33,9.5,OP003,2026-01-13,40,3.3,7.9,Yes,Completed,REG-2025-ABC-345,
D466,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Gas",106,39,12.8,OP002,2026-01-14,67,2.2,5.5,Yes,Completed,REG-2025-DEF-678,
D467,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.9,Package,"Consumer goods",67,22,7.3,OP015,2026-01-15,87,1.7,3.2,No,Completed,REG-2025-GHI-901,
D468,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"Zoom lens",84,19,5.2,OP007,2026-01-16,95,1.2,2.3,No,Completed,REG-2025-JKL-234,
D469,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.5,"Liquid Tank",Fungicide,30,32,10.8,OP003,2026-01-17,42,3.3,7.5,Yes,Completed,REG-2025-MNO-567,
D470,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"High-res",103,39,13.8,OP002,2026-01-18,65,2.4,5.6,Yes,Completed,REG-2025-OPQ-890,
D471,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Small package",73,16,6.5,OP011,2026-01-19,90,1.4,2.9,No,Completed,REG-2025-RST-123,
D472,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.8,Camera,"Wide angle",89,20,5.8,OP004,2026-01-20,93,1.1,2.1,No,Completed,REG-2025-UVW-456,
D473,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.1,"Liquid Tank",Insecticide,34,34,10.1,OP003,2026-01-21,47,3.1,7.2,Yes,Completed,REG-2025-XYZ-789,
D474,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.6,Sensor,"Vibration",107,40,12.5,OP002,2026-01-22,68,2.2,5.3,Yes,Completed,REG-2025-ABC-012,
D475,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Fragile goods",71,25,7.2,OP015,2026-01-23,86,1.8,3.5,No,Completed,REG-2025-DEF-345,
D476,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Telephoto",81,17,5.3,OP007,2026-01-24,98,1.3,2.4,No,Completed,REG-2025-GHI-678,
D477,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Herbicide,26,32,9.2,OP003,2026-01-25,41,3.4,7.7,Yes,Completed,REG-2025-JKL-901,
D478,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.3,Camera,"Zoom",104,42,13.9,OP002,2026-01-26,62,2.5,5.7,Yes,Completed,REG-2025-MNO-234,
D479,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.4,Package,"Gift",70,19,6.1,OP011,2026-01-27,94,1.5,2.8,No,Completed,REG-2025-OPQ-567,
D480,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard lens",87,20,5.7,OP004,2026-01-28,95,1.1,2.2,No,Completed,REG-2025-RST-890,
D481,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.6,"Liquid Tank",Fungicide,33,33,10.5,OP003,2026-01-29,46,3.3,7.3,Yes,Completed,REG-2025-UVW-123,
D482,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Acoustic",109,38,12.2,OP002,2026-01-30,69,2.1,5.4,Yes,Completed,REG-2025-XYZ-456,
D483,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.1,Package,"Electronics",66,23,7.5,OP015,2026-01-31,89,1.7,3.1,No,Completed,REG-2025-ABC-789,
D484,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide lens",82,18,5.9,OP007,2026-02-01,97,1.2,2.5,No,Completed,REG-2025-DEF-901,
D485,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.2,"Liquid Tank",Insecticide,28,35,9.8,OP003,2026-02-02,43,3.5,7.6,Yes,Completed,REG-2025-GHI-234,
D486,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"Thermal",103,41,13.1,OP002,2026-02-03,64,2.4,5.2,Yes,Completed,REG-2025-JKL-567,
D487,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Clothing",73,19,6.1,OP011,2026-02-04,92,1.4,2.7,No,Completed,REG-2025-MNO-890,
D488,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Zoom",85,20,5.5,OP004,2026-02-05,96,1.3,2.3,No,Completed,REG-2025-OPQ-123,
D489,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.1,"Liquid Tank",Herbicide,31,33,9.5,OP003,2026-02-06,40,3.3,7.9,Yes,Completed,REG-2025-RST-456,
D490,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Gas",106,39,12.8,OP002,2026-02-07,67,2.2,5.5,Yes,Completed,REG-2025-UVW-789,
D491,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.2,Package,"Documents",69,24,7.9,OP015,2026-02-08,87,1.8,3.4,No,Completed,REG-2025-XYZ-012,
D492,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"ND filter",88,17,5.2,OP007,2026-02-09,99,1.1,2.1,No,Completed,REG-2025-ABC-345,
D493,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.8,"Liquid Tank",Fungicide,34,34,10.2,OP003,2026-02-10,45,3.4,7.7,Yes,Completed,REG-2025-DEF-678,
D494,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.1,Camera,"Visual",104,40,13.5,OP002,2026-02-11,63,2.3,5.1,Yes,Completed,REG-2025-GHI-901,
D495,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.5,Package,"Electronics",71,18,6.3,OP011,2026-02-12,90,1.5,2.8,No,Completed,REG-2025-JKL-234,
D496,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide angle",83,19,5.6,OP004,2026-02-13,93,1.2,2.4,No,Completed,REG-2025-MNO-567,
D497,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.5,"Liquid Tank",Insecticide,29,32,9.9,OP003,2026-02-14,44,3.2,7.5,Yes,Completed,REG-2025-OPQ-890,
D498,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.6,Sensor,"Temperature",107,42,12.8,OP002,2026-02-15,66,2.4,5.3,Yes,Completed,REG-2025-RST-123,
D499,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.4,Package,"Small items",72,25,7.1,OP015,2026-02-16,86,1.9,3.2,No,Completed,REG-2025-UVW-456,
D500,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Telephoto",89,21,6.5,OP007,2026-02-17,97,1.3,2.5,No,Completed,REG-2025-XYZ-789,
D501,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.2,"Liquid Tank",Herbicide,32,31,10.5,OP003,2026-02-18,41,3.1,7.4,Yes,Completed,REG-2025-ABC-012,
D502,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.1,Camera,"Infrared",104,38,13.2,OP002,2026-02-19,69,2.2,5.1,Yes,Completed,REG-2025-DEF-345,
D503,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.1,Package,"Documents",70,17,5.8,OP011,2026-02-20,93,1.6,2.8,No,Completed,REG-2025-GHI-678,
D504,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard",83,20,5.9,OP004,2026-02-21,95,1.1,2.3,No,Completed,REG-2025-JKL-901,
D505,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.9,"Liquid Tank",Fungicide,27,35,9.8,OP003,2026-02-22,44,3.5,7.7,Yes,Completed,REG-2025-MNO-234,
D506,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.8,Sensor,"Pressure",108,41,12.5,OP002,2026-02-23,67,2.3,5.4,Yes,Completed,REG-2025-OPQ-567,
D507,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.7,Package,"Consumer goods",68,22,7.1,OP015,2026-02-24,88,1.7,3.5,No,Completed,REG-2025-RST-890,
D508,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Zoom lens",81,19,5.2,OP007,2026-02-25,96,1.2,2.1,No,Completed,REG-2025-UVW-123,
D509,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.3,"Liquid Tank",Insecticide,30,32,10.8,OP003,2026-02-26,42,3.3,7.6,Yes,Completed,REG-2025-XYZ-456,
D510,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.6,Camera,"High-res",105,39,13.8,OP002,2026-02-27,65,2.4,5.2,Yes,Completed,REG-2025-ABC-789,
D511,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.4,Package,"Small package",72,16,6.2,OP011,2026-02-28,91,1.4,2.9,No,Completed,REG-2025-DEF-901,
D512,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.9,Camera,"Wide angle",86,20,5.5,OP004,2026-03-01,94,1.1,2.3,No,Completed,REG-2025-GHI-234,
D513,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.5,"Liquid Tank",Herbicide,33,34,10.1,OP003,2026-03-02,47,3.1,7.1,Yes,Completed,REG-2025-JKL-567,
D514,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Vibration",109,40,12.5,OP002,2026-03-03,68,2.2,5.5,Yes,Completed,REG-2025-MNO-890,
D515,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.3,Package,"Fragile goods",70,25,7.9,OP015,2026-03-04,83,1.8,3.4,No,Completed,REG-2025-OPQ-123,
D516,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Telephoto",8444,17,5.3,OP007,2026-03-05,97,1.3,2.2,No,Completed,REG-2025-RST-456,
D517,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.1,"Liquid Tank",Fungicide,29,32,9.2,OP003,2026-03-06,40,3.4,7.8,Yes,Completed,REG-2025-UVW-789,
D518,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.4,Camera,"Zoom",106,42,13.9,OP002,2026-03-07,62,2.5,5.7,Yes,Completed,REG-2025-XYZ-012,
D619,Package Delivery,52,SwiftWing,DeliveryNow,4,2,1.5,Package,"Gift",71,19,6.5,OP011,2026-03-08,92,1.5,2.9,No,Completed,REG-2025-ABC-345,
D519,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.5,Package,"Gift",71,19,6.5,OP011,2026-03-08,92,1.5,2.9,No,Completed,REG-2025-ABC-345,
D520,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Standard lens",85,20,5.7,OP004,2026-03-09,94,1.1,2.1,No,Completed,REG-2025-DEF-678,
D521,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.8,"Liquid Tank",Insecticide,32,33,10.5,OP003,2026-03-10,45,3.3,7.3,Yes,Completed,REG-2025-GHI-901,
D522,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Acoustic",108,38,12.2,OP002,2026-03-11,69,2.1,5.4,Yes,Completed,REG-2025-JKL-234,
D742,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"Standard lens",87,19,5.3,OP004,2026-09-21,95,1.2,2.2,No,Completed,REG-2026-DEF-567,
D743,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.1,"Liquid Tank",Herbicide,33,33,10.7,OP003,2026-09-22,42,3.4,7.6,Yes,Completed,REG-2026-GHI-890,
